capability,swift_path,kotlin_path,production_status,input_source,stored_output,recalculation,ui_surface,export_surface,confidence,tests,hardware_evidence,action,next_evidence
Charge / recovery,Packages/StrandAnalytics/Sources/StrandAnalytics/RecoveryScorer.swift,,audit-needed,"nightly HRV/RHR/sleep and baseline inputs",audit-needed,audit-needed,"Today / score detail; verify exact caller",audit-needed,"ScoreConfidence.charge exists",audit-needed,audit-needed,"trace existing engine end-to-end; do not add another recovery composite","record exact repository/store/UI callers and algorithm-version behavior"
Effort / strain,Packages/StrandAnalytics/Sources/StrandAnalytics/StrainScorer.swift,,audit-needed,"HR series + profile/max-HR context",audit-needed,audit-needed,"Today / workout detail; verify exact caller",audit-needed,"ScoreConfidence.effort exists",audit-needed,audit-needed,"trace existing scorer and source coverage before formula changes","confirm HR-density gate, persistence path, Kotlin twin and rescore trigger"
Readiness,Packages/StrandAnalytics/Sources/StrandAnalytics/ReadinessEngine.swift,,implemented-unwired,"daily metrics history: HRV, resting HR, respiratory rate, strain",none expected,audit-needed,"Readiness surface documented; verify current app caller",audit-needed,"ScoreConfidence.readiness exists",audit-needed,none expected,"prove production reachability and distinguish it clearly from Charge","trace repository read -> ReadinessEngine.evaluate -> Apple/Android UI and stale-day handling"
HRV / RMSSD,Packages/StrandAnalytics/Sources/StrandAnalytics/HRVAnalyzer.swift,,known-wrong,"R-R / IBI sequence",audit-needed,audit-needed,"Health / sleep / score consumers; verify exact paths",audit-needed,audit-needed,"issue #823 and HRV tests",WHOOP 5/MG evidence exists upstream but residual ordering coverage needs measurement,"measure emission-order coverage and legacy/live-split effect before expanding HRV outputs","full-night corpus comparison with known emission order and cross-platform golden vectors"
HRV frequency domain,Packages/StrandAnalytics/Sources/StrandAnalytics/HRVFreqDomain.swift,,audit-needed,"artifact-corrected R-R sequence",audit-needed,audit-needed,audit-needed,audit-needed,audit-needed,audit-needed,none,"gate on trustworthy interval sequence and adequate window coverage","identify production caller and quantify sensitivity to gaps/order/artifact correction"
Sleep staging V2,Packages/StrandAnalytics/Sources/StrandAnalytics/SleepStagerV2.swift,,known-wrong,"sleep candidate window + HR/motion/other staged features",audit-needed,audit-needed,"Sleep hypnogram; verify exact caller",audit-needed,"rest confidence includes staging-quality guards","sleep benchmark tooling + issue #930 evidence",dataset validation exists upstream; exact current release gate needs audit,"benchmark elapsed-time REM prior instead of tuning session-fraction constant by intuition","replay holdouts, naps, short/long nights, sparse-motion cases, Swift/Kotlin parity"
Circadian / body clock,Packages/StrandAnalytics/Sources/StrandAnalytics/CircadianEngine.swift,,audit-needed,"longitudinal sleep/timing inputs",audit-needed,audit-needed,"Health / intelligence surface; verify exact caller",audit-needed,audit-needed,audit-needed,none,"verify caller supplies the documented input domain and not an accidental surrogate","trace inputs, unit assumptions, missing-data behavior, Kotlin twin and UI explanation"
Illness signal,Packages/StrandAnalytics/Sources/StrandAnalytics/IllnessSignalEngine.swift,,audit-needed,"baseline-relative physiological deviations",audit-needed,audit-needed,"Health / intelligence surface; verify exact caller",audit-needed,audit-needed,audit-needed,none,"keep descriptive/non-diagnostic and reconcile with anomaly/change-point engines","trace drivers, thresholds, withholding rules, wording and downstream effects"
Source fusion / arbitration,"Packages/StrandAnalytics/Sources/StrandAnalytics/FusionResolver.swift; Packages/StrandAnalytics/Sources/StrandAnalytics/MetricArbitrationPolicy.swift",,audit-needed,"strap + imports + other device sources",audit-needed,audit-needed,"Your Data, Fused / metric consumers; verify exact caller",audit-needed,audit-needed,audit-needed,none,"make source identity and conflict state explicit before new multi-device analytics","trace active device/day ownership, conflict policy, provenance persistence and backup behavior"
Workout detection,"Packages/StrandAnalytics/Sources/StrandAnalytics/AutoWorkoutDetector.swift; Packages/StrandAnalytics/Sources/StrandAnalytics/WorkoutDetector.swift",,duplicated,"HR/motion/day context",audit-needed,audit-needed,"Workouts",audit-needed,audit-needed,audit-needed,audit-needed,"determine which detector is production and why both remain","map callers, compare algorithms/tests and deprecate only with evidence"
Workout type classification,Packages/StrandAnalytics/Sources/StrandAnalytics/WorkoutTypeClassifier.swift,,experimental,"workout HR/motion features",audit-needed,audit-needed,"Workouts / classification UI; verify exact caller",audit-needed,audit-needed,audit-needed,audit-needed,"keep behind evidence gate until labeled multi-activity data supports it","identify training/heuristic provenance, production caller, confusion matrix and platform parity"
Local MCP / local access,Packages/NoopLocalAccess,,audit-needed,"local NOOP store and derived metrics",none expected,"live read-only access",audit-needed,"MCP/local HTTP",audit-needed,n/a,audit-needed,n/a,"extend existing local-access package rather than build a second MCP server","audit bind address, auth/token handling, tool list, raw-data exposure, rate/error behavior and platform support"
WHOOP 5/MG deep data,Packages/WhoopProtocol,,experimental,"BLE deep optical/IMU/history streams",audit-needed,audit-needed,"Debug/Test Centre or capability-labelled UI",audit-needed,"must expose experimental/unsupported/needs-data state",audit-needed,"real-hardware validation required; see #423/#761","schema-first, non-destructive, default-off probes only","build firmware/device capability matrix and independently reproduce each external wire fact"
Rhythm instrumentation,"Packages/StrandAnalytics/Sources/StrandAnalytics/RhythmScreener.swift; Packages/StrandAnalytics/Sources/StrandAnalytics/RhythmExport.swift",,experimental,"R-R timing with quality/source metadata",audit-needed,audit-needed,"local instrumentation only",audit-needed,audit-needed,audit-needed,none,"preserve non-diagnostic/default-off boundary and never feed unsupported conclusions downstream","trace opt-in path, quality gates, wording, export provenance and platform parity"
