id,source_repo,source_sha,kind,external_symbol_or_area,noop_target,license_policy,provenance,use_mode,copied,independent_validation,status,notes
P001,OpenStrap/analytics,cef6fe4d11c4b4a15ae626350304e882882405e1,design-method,"Metric<T>; evidence tiers; need_baseline convention","NOOP confidence/provenance model and UI absence semantics",adapt_with_notice,clean,"differential-design reference",no,"required before implementation",candidate,"NOOP already has ScoreConfidence; first reconcile rather than create a competing generic result system"
P002,OpenStrap/protocol,87de87c3bc3ce5092b9d26eac0f7240f949fa538,test-method,"firmware-aware fallback; physiological plausibility gates; parity fixture corpus",Packages/WhoopProtocol,adapt_with_notice,clean,"compare behavior and test methodology",no,"required against NOOP fixtures/hardware",candidate,"Protocol facts must be independently reproduced even though implementation is MIT"
P003,OpenStrap/edge,188433e872981727426ac7c02e5d0bca2d503be8,architecture,"background BLE lifecycle; watchdog; restoration; idempotent health writes","Apple/Android BLE lifecycle and export reliability",adapt_with_notice,clean,"native reimplementation after differential audit",no,"real-device and platform fault tests required",candidate,"Do not import Flutter UI or telemetry behavior"
P004,tanarchytan/noop,409cafb61f394ac98a38ab3c43e2a750d8ea06e1,architecture,"Rust/UniFFI shared core divergence","possible future NOOP core architecture",review_required,clean,"ADR-only architecture comparison",no,"must demonstrate measured parity/reliability win",blocked,"Do not adopt as an incidental consequence of a bug fix"
P005,tanarchytan/whoop-rs,73b5a6a7c4ea2fc067fedea58ae69cbdc638ae7d,methodology,"wire codec; offload state machine; physio algorithms; BLE trait; UniFFI",Packages/WhoopProtocol,reference_only,clean,"behavioral oracle and methodology only",no,"independently reproduce any useful finding",blocked,"README license statement is not a verified repository license artifact at pinned commit"
P006,Sophonbot0/whoop-vault,bd43855e5d27f72125b0085a7f5f14beca585395,protocol-hypothesis,"WHOOP 5/MG deep-data commands and raw accel observations",Packages/WhoopProtocol,clean_room_only,decompiled_origin,"hypothesis only; independently capture/rederive",no,"real hardware + NOOP fixture required",experimental,"Existing NOOP issues #423/#761 are the coordination points; copy no decompiled-origin implementation or literals"
P007,a9eelsh/whoop-local,2e7e8bb7b86811b0b180c28aa29c35af5d720d64,differential-oracle,"single-file decoder/formula/replay notebook","protocol and analytics differential experiments",clean_room_only,decompiled_origin,"hypothesis and black-box comparison only",no,"independent adjudication required",blocked,"Pinned HEAD deleted LICENSE; copy nothing"
P008,johnmiddleton12/wearable,890e0c96beb817ab0cec3aaf7d9a06c530025355,methodology,"persist-before-ACK; monotonic cursors; parity/golden fixtures; pipeline audit","BLE history reliability and testing",reference_only,clean,"methodology only",no,"reimplement invariant in existing NOOP architecture and tests",candidate,"No verified license artifact at pinned commit"
P009,satayutata/geniemax-core,476550124c9e3fa08de40dbc99b11db4bd3186eb,analytics-fixture,"sleep/PPG/recovery algorithms and fixtures",Packages/StrandAnalytics,adapt_with_notice,unknown,"differential benchmark and selective adaptation",no,"must beat current NOOP on holdouts and preserve parity",candidate,"Do not replace NOOP sleep pipeline wholesale; fixture provenance must be understood before importing"
P010,b-nnett/goose,ba9ae0280c9b5b9a1545baab8e944cb3b7563c62,methodology,"algorithm benchmarking; calibration evaluation; capture sanitization; privacy/test ideas","Tools and release gates",reference_only,unknown,"methodology only",no,"independent implementation required",candidate,"Archived and no verified license artifact at pinned commit"
P011,christianmeurer/whoop-reader,8414797ad50c08c408ec3fb8486e186e0bf9bc06,protocol-crosscheck,"WHOOP BLE/decoder observations",Packages/WhoopProtocol,adapt_with_notice,mixed,"cross-check only until independently confirmed",no,"NOOP fixture or hardware confirmation required",candidate,"MIT source, but community reverse-engineering provenance still warrants independent protocol verification"
P012,bWanShiTong/reverse-engineering-whoop-post,305e35d9c4a57b0241ab1ccb2894a8ed3304d5aa,protocol-history,"historical WHOOP protocol observations",Packages/WhoopProtocol,reference_only,mixed,"factual research context only",no,"independent reproduction required",blocked,"No verified license artifact at pinned commit"
P013,OpenStrap/analytics,cef6fe4d11c4b4a15ae626350304e882882405e1,scientific-semantics,"PRV-vs-HRV distinction; relative ADC honesty","HRV/raw-sensor naming and confidence",adapt_with_notice,clean,"terminology and behavior comparison",no,"verify NOOP substrate and current labels",candidate,"Do not present pulse-derived intervals as ECG-equivalent or relative ADC as calibrated absolute physiology"
P014,ryanbr/noop,d4b7cc8a3c2ebc02f77383fcdcae8cf597426abd,upstream-fix,"issue #823 emission-order schema repair","R-R storage/read ordering",review_required,clean,"retain and measure residuals",no,"full-night corpus effect and live-split residual remain to quantify",in-progress,"Structural fix is already in pinned baseline; do not reimplement naive ORDER BY ts,seq proposal"
P015,ryanbr/noop,d4b7cc8a3c2ebc02f77383fcdcae8cf597426abd,upstream-issue,"issue #930 SleepStagerV2 REM latency prior",Packages/StrandAnalytics/Sources/StrandAnalytics/SleepStagerV2.swift,review_required,clean,"benchmark-first native repair",no,"holdout/naps/short-long/sparse-motion and Swift-Kotlin parity",planned,"Do not delete load-bearing REM term or hand-tune constants without benchmark evidence"
